CODES,DATES,OPEN,CLOSE,HIGH,LOW,VOLUME,TR,EFFECT_RATIO,SMOOTH,MIDDLE,TOP,BOTTOM,BUY,SELL
600309.SH,2010/03/02,11.777802000000001,12.018165,12.066238,11.777802000000001,12607118.0,0.34612399999999965,0.4427081094999731,0.31065824721752755,11.065016619157154,11.169324220484127,10.960709017830181,0,0
600309.SH,2010/03/03,12.018165,11.931633999999999,12.090274,11.902791,7762605.0,0.1874830000000003,0.4073392695540123,0.3310930551827794,10.98736277482069,11.073854975737513,10.900870573903868,0,0
600309.SH,2010/03/04,11.970092,11.532631,12.114310000000001,11.489366,9773373.0,0.624944000000001,0.08736037056656035,0.30979568919381384,10.956240566815373,11.023381494328898,10.889099639301847,0,0
600309.SH,2010/03/05,11.595125999999999,11.470137,11.65762,11.297075,5021158.0,0.3605450000000001,0.057692299999320094,0.11712022313685352,11.153250660150844,11.277174176934235,11.029327143367453,0,0
600309.SH,2010/03/08,11.561475,11.65762,11.729728999999999,11.398028,5017955.0,0.3317009999999989,0.0496183615210277,0.09925557849421424,11.150240318807592,11.306336426157742,10.994144211457442,0,0
600309.SH,2010/03/09,11.681656,11.547053,11.787416,11.513402000000001,6251879.0,0.2740139999999993,0.0057915887433873684,0.09439385209868334,11.001752071891692,11.173428938800884,10.830075204982501,0,0
600309.SH,2010/03/10,11.551860000000001,11.585511,11.590318,11.349955,4991956.0,0.24036300000000033,0.05691040067242421,0.06800353730784615,10.846234113843675,11.038218935113171,10.654249292574178,0,0
600309.SH,2010/03/11,11.547053,11.263424,11.580703999999999,11.104784,5397665.0,0.4807269999999999,0.30192333156117496,0.09878475739414791,10.85221847476618,11.02961249234634,10.674824457186022,0,0
600309.SH,2010/03/12,11.263424,11.277846,11.364377000000001,11.109592,5419255.0,0.2547850000000018,0.25468168295560767,0.24631942545619134,10.837434512202895,10.984757002444887,10.690112021960903,0,0
600309.SH,2010/03/15,11.090363,10.768276,11.282653,10.744239,6602119.0,0.5384139999999995,0.30813944816248345,0.21787284134961318,10.819370763815616,10.929264662192832,10.7094768654384,0,0
600309.SH,2010/03/16,10.816348,10.898072,10.902878999999999,10.744239,3405588.0,0.15863999999999834,0.25105501342026176,0.2500624634096674,10.812856933382992,10.941560018054687,10.684153848711297,0,0
600309.SH,2010/03/17,10.907686,11.119206,11.133628,10.859614,5790892.0,0.2740139999999993,0.2424243242890339,0.21568904033908232,10.89017004710788,11.017174421253186,10.763165672962574,0,0
